id,title
B08DFNTXLZ,RiwiR Laptop Desk Pink Foldable Lap Desk Stand Portable Bed Sofa Adjustable Height with Tilt Angle Folding Table for Student Adults Hospital Home Work Writing Tray
B08JM7LNZS,"Foldable Bed Table for Laptop, Laptop Desk Table Stand, Laptop Bed Tray Table with Storage Drawer, Notebook Stand Lap Desk for Writing Reading Eating, Portable Laptop Table for Bed Sofa Floor-Pink"
B07SRRZ514,"Kinmac 360° Protective Waterproof Laptop Case Bag Sleeve with Handle Compatible with MacBook Pro 16, 2021 Dell Inspiron 15 5515/5510 and 14 inch-15 Laptop(Cactus)"
B08RCF62F9,"Bed Desk with Drawer, Phone and Cup Holder, Laptop Desk for Bed, 23.6"" Foldable Lap Desk for Adults and Kids, Laptop Stand for Bed (Pink Top+White Leg, 23.6"")"
B07P829HVG,"Osprey Nebula Men's Laptop Backpack, Black , One Size"
B077R4JNMT,"Lenovo N22 80SF0001US 11.6"" Chromebook Intel Celeron N3050 1.60 GHz, 4GB RAM, 16GB SSD Drive, Chrome OS (Renewed)"
B082D74N22,"Laptop Bed Tray Desk, SAIJI Adjustable Laptop Stand for Bed, Foldable Laptop Table with Storage Drawer for Eating, Working, Writing, Gaming, Drawing (Gray, X-Large)"
B092VXGYL8,"Laptop Stand for Bed - EduSoho Bamboo Laptop Bed Tray Desk Fits up to 15.6 inch Laptop Adjustable Lap Desk with Storage Drawer, Cup Holder & Cooling Fan"
B07DRF982J,"Laptop Tote Bag,Fits 15.6 Inch Laptop,Womens Lightweight Water Resistant Nylon Tote Bag Shoulder Bag Messenger Bag,Grey"
B07WTVWXJD,Wxnow Laptop Tote Bag 15.6 Inch Laptop Bag for Women Teacher Large Laptop Organizer Bag Waterproof Briefcase Shoulder Bag for Work Grey
